Campaign,Type,Ware,Number
SLP-2004,CER,CW,8
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,8
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,18
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,13
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,7
SLP-2004,CER,CW,21
SLP-2004,CER,CW,26
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,15
SLP-2004,CER,CW,4
SLP-2004,CER,CW,10
SLP-2004,CER,CW,8
SLP-2004,CER,CW,7
SLP-2004,CER,CW,3
SLP-2004,CER,CW,11
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,26
SLP-2004,CER,CW,6
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,11
SLP-2004,CER,CW,1
SLP-2004,CER,CW,12
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,14
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,5
SLP-2004,CER,CW,14
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,7
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,8
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,8
SLP-2004,CER,CW,3
SLP-2004,CER,CW,9
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,7
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,9
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,12
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,14
SLP-2004,CER,CW,29
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,5
SLP-2004,CER,CW,8
SLP-2004,CER,CW,25
SLP-2004,CER,CW,27
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,8
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,10
SLP-2004,CER,CW,6
SLP-2004,CER,CW,5
SLP-2004,CER,CW,8
SLP-2004,CER,CW,5
SLP-2004,CER,CW,29
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,14
SLP-2004,CER,CW,3
SLP-2004,CER,CW,18
SLP-2004,CER,CW,5
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,5
SLP-2004,CER,CW,8
SLP-2004,CER,CW,11
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,6
SLP-2004,CER,CW,5
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,9
SLP-2004,CER,CW,1
SLP-2004,CER,CW,10
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,3
SLP-2004,CER,CW,6
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,22
SLP-2004,CER,CW,3
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,5
SLP-2004,CER,CW,16
SLP-2004,CER,CW,10
SLP-2004,CER,CW,7
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,20
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,3
SLP-2004,CER,CW,19
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,15
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,29
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,9
SLP-2004,CER,CW,2
SLP-2004,CER,CW,7
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,5
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,10
SLP-2004,CER,CW,23
SLP-2004,CER,CW,5
SLP-2004,CER,CW,8
SLP-2004,CER,CW,6
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,7
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
